id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
0;download_jobposting;requests;1597307325.3433778;-0.4053339958190918;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9700;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9700;103945;200;True;
1;download_jobposting;requests;1597307326.762099;-0.408937931060791;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=7980;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=7980;104897;200;True;
2;download_jobposting;requests;1597307328.180692;-0.3152129650115967;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12880;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12880;103299;200;True;
3;download_jobposting;requests;1597307329.507377;-0.32057905197143555;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=6720;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=6720;104247;200;True;
4;download_jobposting;requests;1597307330.840412;-0.3185241222381592;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1960;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1960;103602;200;True;
5;download_jobposting;requests;1597307332.173737;-0.31557297706604004;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=10260;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=10260;103345;200;True;
6;download_jobposting;requests;1597307333.500354;-0.3197479248046875;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9300;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9300;102220;200;True;
7;download_jobposting;requests;1597307334.829034;-0.3226900100708008;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=10800;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=10800;103539;200;True;
8;download_jobposting;requests;1597307336.165249;-0.31732892990112305;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12780;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12780;103803;200;True;
9;download_jobposting;requests;1597307337.4984431;-0.41832590103149414;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=11700;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=11700;103472;200;True;
10;download_jobposting;requests;1597307338.931222;-0.41878509521484375;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=13700;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=13700;104414;200;True;
11;download_jobposting;requests;1597307340.3659258;-0.41794514656066895;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=880;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=880;103555;200;True;
12;download_jobposting;requests;1597307341.796033;-0.423551082611084;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=5840;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=5840;104373;200;True;
13;download_jobposting;requests;1597307343.234824;-0.3136100769042969;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12320;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=12320;104053;200;True;
14;download_jobposting;requests;1597307344.565042;-0.31528687477111816;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=13640;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=13640;104708;200;True;
15;download_jobposting;requests;1597307345.896811;-0.31421589851379395;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1200;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1200;103274;200;True;
16;download_jobposting;requests;1597307347.226783;-0.2661259174346924;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=2620;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=2620;106678;200;True;
17;download_jobposting;requests;1597307348.510287;-0.2604708671569824;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1420;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1420;103716;200;True;
18;download_jobposting;requests;1597307349.780208;-0.33791279792785645;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9320;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=9320;104304;200;True;
19;download_jobposting;requests;1597307351.128119;-0.4078640937805176;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=2300;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=2300;103884;200;True;
20;mapping_categories;requests;1597307386.399585;-0.0934000015258789;https://www.trustpilot.com/categories;https://www.trustpilot.com/categories;237017;200;True;
21;mapping;requests;1597307668.879574;-0.0886988639831543;https://www.trustpilot.com/categories/art;https://www.trustpilot.com/categories/art_supply_store;1000172;200;True;
22;mapping_categories;requests;1597307710.686684;-0.24450397491455078;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=0;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=0;103714;200;True;
23;mapping_categories;requests;1597307711.436096;-0.3420400619506836;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=20;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=20;103468;200;True;
24;mapping_categories;requests;1597307712.282426;-0.3149268627166748;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=40;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=40;103915;200;True;
25;mapping_categories;requests;1597307713.1037729;-0.19928598403930664;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=60;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=60;103444;200;True;
26;mapping_categories;requests;1597307713.8068008;-0.20581912994384766;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=80;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=80;104078;200;True;
27;mapping_categories;requests;1597307714.5147488;-0.33577418327331543;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=100;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=100;103292;200;True;
28;mapping_categories;requests;1597307715.354429;-0.31469106674194336;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=120;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=120;103964;200;True;
29;mapping_categories;requests;1597307716.173144;-0.18986082077026367;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=140;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=140;104773;200;True;
30;mapping_categories;requests;1597307716.864966;-0.3398141860961914;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=160;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=160;103948;200;True;
31;mapping_categories;requests;1597307717.710918;-0.4156498908996582;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=180;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=180;105063;200;True;
32;mapping_categories;requests;1597307718.630645;-0.20420098304748535;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=200;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=200;105286;200;True;
33;mapping_categories;requests;1597307719.339112;-0.2131669521331787;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=220;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=220;104796;200;True;
34;mapping_categories;requests;1597307720.057431;-0.3266489505767822;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=240;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=240;105183;200;True;
35;mapping_categories;requests;1597307720.888103;-0.31108903884887695;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=260;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=260;102664;200;True;
36;mapping_categories;requests;1597307721.704112;-0.3143310546875;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=280;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=280;102618;200;True;
37;mapping_categories;requests;1597307722.521136;-0.20958709716796875;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=300;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=300;103170;200;True;
38;mapping_categories;requests;1597307723.2344692;-0.3202958106994629;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=320;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=320;106313;200;True;
39;mapping_categories;requests;1597307724.05839;-0.24504613876342773;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=340;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=340;103292;200;True;
40;mapping_categories;requests;1597307724.806931;-0.2149360179901123;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=360;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=360;104705;200;True;
41;mapping_categories;requests;1597307725.527164;-0.2285170555114746;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=380;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=380;105525;200;True;
42;mapping_categories;requests;1597307726.260579;-0.29102492332458496;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=400;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=400;105142;200;True;
43;mapping_categories;requests;1597307727.054701;-0.2574758529663086;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=420;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=420;104735;200;True;
44;mapping_categories;requests;1597307727.816635;-0.3437480926513672;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=440;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=440;104218;200;True;
45;mapping_categories;requests;1597307728.666084;-0.4173908233642578;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=460;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=460;104173;200;True;
